id,gid,x,y,v_x,v_y,radius,time
1,1,5.430698,5.430695,-0.238458,-0.238462,0.500000,1.700000
2,2,0.000104,7.623859,0.000110,-0.396610,0.500000,1.700000
3,3,-5.398920,5.398980,0.271966,-0.271902,0.500000,1.700000
4,4,-7.674362,0.000076,0.343358,0.000081,0.500000,1.700000
5,5,-5.393865,-5.394049,0.277296,0.277112,0.500000,1.700000
6,6,0.000000,-7.618668,0.000000,0.402084,0.500000,1.700000
7,7,5.426061,-5.425845,-0.243358,0.243575,0.500000,1.700000
0,0,7.598103,0.000130,-0.400193,0.000129,0.500000,1.800000
1,1,5.405689,5.405685,-0.250096,-0.250100,0.500000,1.800000
2,2,0.000115,7.582262,0.000115,-0.415966,0.500000,1.800000
3,3,-5.370396,5.370463,0.285240,-0.285172,0.500000,1.800000
4,4,-7.638351,0.000085,0.360115,0.000085,0.500000,1.800000
5,5,-5.364782,-5.364985,0.290830,0.290637,0.500000,1.800000
6,6,0.000000,-7.576497,0.000000,0.421707,0.500000,1.800000
7,7,5.400537,-5.400299,-0.255235,0.255463,0.500000,1.800000
0,0,7.556258,0.000144,-0.418443,0.000135,0.500000,1.900000
1,1,5.379539,5.379535,-0.261501,-0.261505,0.500000,1.900000
2,2,0.000127,7.538768,0.000120,-0.434936,0.500000,1.900000
3,3,-5.340571,5.340645,0.298247,-0.298177,0.500000,1.900000
4,4,-7.600697,0.000094,0.376538,0.000089,0.500000,1.900000
5,5,-5.334372,-5.334596,0.304092,0.303891,0.500000,1.900000
6,6,0.000000,-7.532403,0.000000,0.440938,0.500000,1.900000
7,7,5.373850,-5.373588,-0.266875,0.267113,0.500000,1.900000
0,0,7.512626,0.000158,-0.436328,0.000141,0.500000,2.000000
1,1,5.352271,5.352266,-0.272678,-0.272682,0.500000,2.000000
2,2,0.000140,7.493416,0.000125,-0.453526,0.500000,2.000000
3,3,-5.309471,5.309553,0.310995,-0.310922,0.500000,2.000000
4,4,-7.561434,0.000103,0.392631,0.000093,0.500000,2.000000
5,5,-5.302664,-5.302908,0.317090,0.316879,0.500000,2.000000
6,6,0.000000,-7.486425,0.000000,0.459785,0.500000,2.000000
7,7,5.346022,-5.345735,-0.278282,0.278530,0.500000,2.000000
0,0,7.467240,0.000172,-0.453855,0.000147,0.500000,2.100000
1,1,5.323908,5.323903,-0.283632,-0.283636,0.500000,2.100000
2,2,0.000153,7.446241,0.000130,-0.471744,0.500000,2.100000
3,3,-5.277123,5.277212,0.323488,-0.323411,0.500000,2.100000
4,4,-7.520594,0.000113,0.408403,0.000097,0.500000,2.100000
5,5,-5.269681,-5.269948,0.329827,0.329608,0.500000,2.100000
6,6,0.000000,-7.438599,0.000000,0.478254,0.500000,2.100000
7,7,5.317076,-5.316763,-0.289460,0.289718,0.500000,2.100000
0,0,7.420137,0.000188,-0.471032,0.000152,0.500000,2.200000
1,1,5.294471,5.294466,-0.294366,-0.294370,0.500000,2.200000
2,2,0.000166,7.397282,0.000135,-0.489597,0.500000,2.200000
3,3,-5.243550,5.243647,0.335730,-0.335651,0.500000,2.200000
4,4,-7.478208,0.000123,0.423860,0.000100,0.500000,2.200000
5,5,-5.235450,-5.235739,0.342310,0.342083,0.500000,2.200000
6,6,0.000000,-7.388964,0.000000,0.496354,0.500000,2.200000
7,7,5.287034,-5.286695,-0.300415,0.300683,0.500000,2.200000
0,0,7.371351,0.000203,-0.487865,0.000158,0.500000,2.300000
1,1,5.263982,5.263977,-0.304886,-0.304890,0.500000,2.300000
2,2,0.000180,7.346572,0.000140,-0.507094,0.500000,2.300000
3,3,-5.208777,5.208882,0.347728,-0.347646,0.500000,2.300000
4,4,-7.434307,0.000133,0.439007,0.000104,0.500000,2.300000
5,5,-5.199996,-5.200309,0.354543,0.354308,0.500000,2.300000
6,6,0.000000,-7.337554,0.000000,0.514092,0.500000,2.300000
7,7,5.255919,-5.255552,-0.311151,0.311428,0.500000,2.300000
